Date,NuPathe
2009-11-01,0
2009-11-02,0
2009-11-03,0
2009-11-04,0
2009-11-05,0
2009-11-06,0
2009-11-07,0
2009-11-08,0
2009-11-09,0
2009-11-10,0
2009-11-11,0
2009-11-12,0
2009-11-13,0
2009-11-14,0
2009-11-15,0
2009-11-16,0
2009-11-17,0
2009-11-18,0
2009-11-19,0
2009-11-20,0
2009-11-21,0
2009-11-22,0
2009-11-23,0
2009-11-24,0
2009-11-25,0
2009-11-26,0
2009-11-27,0
2009-11-28,0
2009-11-29,0
2009-11-30,0
2009-12-01,0
2009-12-02,0
2009-12-03,0
2009-12-04,0
2009-12-05,0
2009-12-06,0
2009-12-07,0
2009-12-08,0
2009-12-09,0
2009-12-10,0
2009-12-11,0
2009-12-12,0
2009-12-13,0
2009-12-14,0
2009-12-15,0
2009-12-16,0
2009-12-17,0
2009-12-18,0
2009-12-19,0
2009-12-20,0
2009-12-21,0
2009-12-22,0
2009-12-23,0
2009-12-24,0
2009-12-25,0
2009-12-26,0
2009-12-27,0
2009-12-28,0
2009-12-29,0
2009-12-30,0
2009-12-31,0
2010-01-01,0
2010-01-02,0
2010-01-03,0
2010-01-04,0
2010-01-05,0
2010-01-06,0
2010-01-07,0
2010-01-08,0
2010-01-09,0
2010-01-10,0
2010-01-11,0
2010-01-12,0
2010-01-13,0
2010-01-14,0
2010-01-15,0
2010-01-16,0
2010-01-17,0
2010-01-18,0
2010-01-19,0
2010-01-20,0
2010-01-21,0
2010-01-22,0
2010-01-23,0
2010-01-24,0
2010-01-25,0
2010-01-26,0
2010-01-27,0
2010-01-28,0
2010-01-29,0
2010-01-30,0
2010-01-31,0
2010-02-01,0
2010-02-02,0
2010-02-03,1
2010-02-04,1
2010-02-05,2
2010-02-06,3
2010-02-07,3
2010-02-08,4
2010-02-09,4
2010-02-10,5
2010-02-11,6
2010-02-12,6
2010-02-13,7
2010-02-14,7
2010-02-15,8
2010-02-16,9
2010-02-17,9
2010-02-18,10
2010-02-19,10
2010-02-20,11
2010-02-21,12
2010-02-22,12
2010-02-23,13
2010-02-24,13
2010-02-25,14
2010-02-26,15
2010-02-27,15
2010-02-28,16
2010-03-01,17
2010-03-02,17
2010-03-03,17
2010-03-04,17
2010-03-05,17
2010-03-06,17
2010-03-07,17
2010-03-08,17
2010-03-09,17
2010-03-10,17
2010-03-11,17
2010-03-12,18
2010-03-13,18
2010-03-14,18
2010-03-15,18
2010-03-16,18
2010-03-17,18
2010-03-18,18
2010-03-19,18
2010-03-20,18
2010-03-21,18
2010-03-22,19
2010-03-23,19
2010-03-24,19
2010-03-25,19
2010-03-26,19
2010-03-27,19
2010-03-28,19
2010-03-29,19
2010-03-30,19
2010-03-31,19
2010-04-01,20
2010-04-02,20
2010-04-03,20
2010-04-04,20
2010-04-05,20
2010-04-06,20
2010-04-07,20
2010-04-08,20
2010-04-09,20
2010-04-10,20
2010-04-11,21
2010-04-12,21
2010-04-13,21
2010-04-14,21
2010-04-15,21
2010-04-16,21
2010-04-17,21
2010-04-18,21
2010-04-19,21
2010-04-20,21
2010-04-21,22
2010-04-22,22
2010-04-23,22
2010-04-24,22
2010-04-25,22
2010-04-26,22
2010-04-27,22
2010-04-28,22
2010-04-29,22
2010-04-30,22
2010-05-01,23
2010-05-02,22
2010-05-03,22
2010-05-04,22
2010-05-05,22
2010-05-06,22
2010-05-07,22
2010-05-08,22
2010-05-09,22
2010-05-10,22
2010-05-11,22
2010-05-12,21
2010-05-13,21
2010-05-14,21
2010-05-15,21
2010-05-16,21
2010-05-17,21
2010-05-18,21
2010-05-19,21
2010-05-20,21
2010-05-21,21
2010-05-22,20
2010-05-23,20
2010-05-24,20
2010-05-25,20
2010-05-26,20
2010-05-27,20
2010-05-28,20
2010-05-29,20
2010-05-30,20
2010-05-31,20
2010-06-01,20
2010-06-02,20
2010-06-03,20
2010-06-04,21
2010-06-05,21
2010-06-06,21
2010-06-07,22
2010-06-08,22
2010-06-09,22
2010-06-10,23
2010-06-11,23
2010-06-12,24
2010-06-13,24
2010-06-14,24
2010-06-15,25
2010-06-16,25
2010-06-17,25
2010-06-18,26
2010-06-19,26
2010-06-20,26
2010-06-21,27
2010-06-22,27
2010-06-23,28
2010-06-24,28
2010-06-25,28
2010-06-26,29
2010-06-27,29
2010-06-28,29
2010-06-29,30
2010-06-30,30
2010-07-01,31
2010-07-02,31
2010-07-03,32
2010-07-04,33
2010-07-05,34
2010-07-06,35
2010-07-07,36
2010-07-08,37
2010-07-09,38
2010-07-10,39
2010-07-11,40
2010-07-12,40
2010-07-13,41
2010-07-14,42
2010-07-15,43
2010-07-16,44
2010-07-17,45
2010-07-18,46
2010-07-19,47
2010-07-20,48
2010-07-21,49
2010-07-22,49
2010-07-23,50
2010-07-24,51
2010-07-25,52
2010-07-26,53
2010-07-27,54
2010-07-28,55
2010-07-29,56
2010-07-30,57
2010-07-31,58
2010-08-01,59
2010-08-02,57
2010-08-03,56
2010-08-04,55
2010-08-05,54
2010-08-06,53
2010-08-07,51
2010-08-08,50
2010-08-09,49
2010-08-10,48
2010-08-11,47
2010-08-12,45
2010-08-13,44
2010-08-14,43
2010-08-15,42
2010-08-16,41
2010-08-17,39
2010-08-18,38
2010-08-19,37
2010-08-20,36
2010-08-21,35
2010-08-22,33
2010-08-23,32
2010-08-24,31
2010-08-25,30
2010-08-26,29
2010-08-27,27
2010-08-28,26
2010-08-29,25
2010-08-30,24
2010-08-31,23
2010-09-01,22
2010-09-02,21
2010-09-03,21
2010-09-04,21
2010-09-05,21
2010-09-06,21
2010-09-07,21
2010-09-08,21
2010-09-09,20
2010-09-10,20
2010-09-11,20
2010-09-12,20
2010-09-13,20
2010-09-14,20
2010-09-15,20
2010-09-16,20
2010-09-17,19
2010-09-18,19
2010-09-19,19
2010-09-20,19
2010-09-21,19
2010-09-22,19
2010-09-23,19
2010-09-24,18
2010-09-25,18
2010-09-26,18
2010-09-27,18
2010-09-28,18
2010-09-29,18
2010-09-30,18
2010-10-01,18
2010-10-02,18
2010-10-03,18
2010-10-04,18
2010-10-05,19
2010-10-06,19
2010-10-07,19
2010-10-08,20
2010-10-09,20
2010-10-10,20
2010-10-11,20
2010-10-12,21
2010-10-13,21
2010-10-14,21
2010-10-15,22
2010-10-16,22
2010-10-17,22
2010-10-18,22
2010-10-19,23
2010-10-20,23
2010-10-21,23
2010-10-22,24
2010-10-23,24
2010-10-24,24
2010-10-25,24
2010-10-26,25
2010-10-27,25
2010-10-28,25
2010-10-29,26
2010-10-30,26
2010-10-31,26
2010-11-01,27
2010-11-02,26
2010-11-03,26
2010-11-04,26
2010-11-05,26
2010-11-06,26
2010-11-07,26
2010-11-08,26
2010-11-09,26
2010-11-10,26
2010-11-11,26
2010-11-12,26
2010-11-13,26
2010-11-14,26
2010-11-15,26
2010-11-16,26
2010-11-17,26
2010-11-18,26
2010-11-19,26
2010-11-20,26
2010-11-21,26
2010-11-22,26
2010-11-23,26
2010-11-24,26
2010-11-25,26
2010-11-26,26
2010-11-27,26
2010-11-28,26
2010-11-29,26
2010-11-30,26
2010-12-01,26
2010-12-02,26
2010-12-03,26
2010-12-04,26
2010-12-05,26
2010-12-06,26
2010-12-07,26
2010-12-08,26
2010-12-09,26
2010-12-10,26
2010-12-11,26
2010-12-12,26
2010-12-13,26
2010-12-14,26
2010-12-15,26
2010-12-16,26
2010-12-17,26
2010-12-18,26
2010-12-19,26
2010-12-20,26
2010-12-21,26
2010-12-22,26
2010-12-23,26
2010-12-24,26
2010-12-25,26
2010-12-26,26
2010-12-27,26
2010-12-28,26
2010-12-29,26
2010-12-30,26
2010-12-31,26
2011-01-01,26
2011-01-02,25
2011-01-03,25
2011-01-04,25
2011-01-05,24
2011-01-06,24
2011-01-07,24
2011-01-08,23
2011-01-09,23
2011-01-10,23
2011-01-11,23
2011-01-12,22
2011-01-13,22
2011-01-14,22
2011-01-15,21
2011-01-16,21
2011-01-17,21
2011-01-18,21
2011-01-19,20
2011-01-20,20
2011-01-21,20
2011-01-22,19
2011-01-23,19
2011-01-24,19
2011-01-25,19
2011-01-26,18
2011-01-27,18
2011-01-28,18
2011-01-29,17
2011-01-30,17
2011-01-31,17
2011-02-01,17
2011-02-02,16
2011-02-03,16
2011-02-04,16
2011-02-05,16
2011-02-06,16
2011-02-07,16
2011-02-08,16
2011-02-09,16
2011-02-10,16
2011-02-11,16
2011-02-12,16
2011-02-13,16
2011-02-14,16
2011-02-15,16
2011-02-16,16
2011-02-17,16
2011-02-18,16
2011-02-19,16
2011-02-20,16
2011-02-21,16
2011-02-22,16
2011-02-23,16
2011-02-24,16
2011-02-25,16
2011-02-26,16
2011-02-27,16
2011-02-28,16
2011-03-01,16
2011-03-02,15
2011-03-03,15
2011-03-04,15
2011-03-05,15
2011-03-06,15
2011-03-07,15
2011-03-08,15
2011-03-09,15
2011-03-10,15
2011-03-11,15
2011-03-12,15
2011-03-13,15
2011-03-14,15
2011-03-15,15
2011-03-16,15
2011-03-17,14
2011-03-18,14
2011-03-19,14
2011-03-20,14
2011-03-21,14
2011-03-22,14
2011-03-23,14
2011-03-24,14
2011-03-25,14
2011-03-26,14
2011-03-27,14
2011-03-28,14
2011-03-29,14
2011-03-30,14
2011-03-31,14
2011-04-01,14
2011-04-02,14
2011-04-03,14
2011-04-04,14
2011-04-05,14
2011-04-06,15
2011-04-07,15
2011-04-08,15
2011-04-09,15
2011-04-10,16
2011-04-11,16
2011-04-12,16
2011-04-13,16
2011-04-14,17
2011-04-15,17
2011-04-16,17
2011-04-17,17
2011-04-18,17
2011-04-19,18
2011-04-20,18
2011-04-21,18
2011-04-22,18
2011-04-23,19
2011-04-24,19
2011-04-25,19
2011-04-26,19
2011-04-27,20
2011-04-28,20
2011-04-29,20
2011-04-30,20
2011-05-01,21
2011-05-02,21
2011-05-03,21
2011-05-04,21
2011-05-05,22
2011-05-06,22
2011-05-07,22
2011-05-08,22
2011-05-09,23
2011-05-10,23
2011-05-11,23
2011-05-12,23
2011-05-13,24
2011-05-14,24
2011-05-15,24
2011-05-16,24
2011-05-17,25
2011-05-18,25
2011-05-19,25
2011-05-20,25
2011-05-21,26
2011-05-22,26
2011-05-23,26
2011-05-24,26
2011-05-25,27
2011-05-26,27
2011-05-27,27
2011-05-28,27
2011-05-29,28
2011-05-30,28
2011-05-31,28
2011-06-01,29
2011-06-02,28
2011-06-03,28
2011-06-04,28
2011-06-05,28
2011-06-06,28
2011-06-07,28
2011-06-08,27
2011-06-09,27
2011-06-10,27
2011-06-11,27
2011-06-12,27
2011-06-13,27
2011-06-14,26
2011-06-15,26
2011-06-16,26
2011-06-17,26
2011-06-18,26
2011-06-19,26
2011-06-20,25
2011-06-21,25
2011-06-22,25
2011-06-23,25
2011-06-24,25
2011-06-25,25
2011-06-26,24
2011-06-27,24
2011-06-28,24
2011-06-29,24
2011-06-30,24
2011-07-01,24
2011-07-02,26
2011-07-03,28
2011-07-04,31
2011-07-05,33
2011-07-06,36
2011-07-07,38
2011-07-08,41
2011-07-09,43
2011-07-10,46
2011-07-11,48
2011-07-12,50
2011-07-13,53
2011-07-14,55
2011-07-15,58
2011-07-16,60
2011-07-17,63
2011-07-18,65
2011-07-19,68
2011-07-20,70
2011-07-21,73
2011-07-22,75
2011-07-23,77
2011-07-24,80
2011-07-25,82
2011-07-26,85
2011-07-27,87
2011-07-28,90
2011-07-29,92
2011-07-30,95
2011-07-31,97
2011-08-07,87
2011-08-08,85
2011-08-09,82
2011-08-10,80
2011-08-11,78
2011-08-12,76
2011-08-13,74
2011-08-14,72
2011-08-15,70
2011-08-16,68
2011-08-17,65
2011-08-18,63
2011-08-19,61
2011-08-20,59
2011-08-21,57
2011-08-22,55
2011-08-23,53
2011-08-24,51
2011-08-25,48
2011-08-26,46
2011-08-27,44
2011-08-28,42
2011-08-29,41
2011-08-30,39
2011-08-31,37
2011-09-01,35
2011-09-02,35
2011-09-03,35
2011-09-04,35
2011-09-05,33
2011-09-06,33
2011-09-07,32
2011-09-08,32
2011-09-09,32
2011-09-10,32
2011-09-11,32
2011-09-12,31
2011-09-13,31
2011-09-14,31
2011-09-15,31
2011-09-16,31
2011-09-17,30
2011-09-18,30
2011-09-19,31
2011-09-20,31
2011-09-21,31
2011-09-22,31
2011-09-23,31
2011-09-24,32
2011-09-25,29
2011-09-26,29
2011-09-27,28
2011-09-28,28
2011-09-29,28
2011-09-30,28
2011-10-01,28
