Date,Cloud Peak Energy
2009-02-01,0
2009-02-02,0
2009-02-03,0
2009-02-04,0
2009-02-05,0
2009-02-06,0
2009-02-07,0
2009-02-08,0
2009-02-09,0
2009-02-10,0
2009-02-11,0
2009-02-12,0
2009-02-13,0
2009-02-14,0
2009-02-15,0
2009-02-16,0
2009-02-17,0
2009-02-18,0
2009-02-19,0
2009-02-20,0
2009-02-21,0
2009-02-22,0
2009-02-23,0
2009-02-24,0
2009-02-25,0
2009-02-26,0
2009-02-27,0
2009-02-28,0
2009-03-01,0
2009-03-02,0
2009-03-03,0
2009-03-04,0
2009-03-05,0
2009-03-06,0
2009-03-07,0
2009-03-08,0
2009-03-09,0
2009-03-10,0
2009-03-11,0
2009-03-12,0
2009-03-13,0
2009-03-14,0
2009-03-15,0
2009-03-16,0
2009-03-17,0
2009-03-18,0
2009-03-19,0
2009-03-20,0
2009-03-21,0
2009-03-22,0
2009-03-23,0
2009-03-24,0
2009-03-25,0
2009-03-26,0
2009-03-27,0
2009-03-28,0
2009-03-29,0
2009-03-30,0
2009-03-31,0
2009-04-01,0
2009-04-02,0
2009-04-03,0
2009-04-04,0
2009-04-05,0
2009-04-06,0
2009-04-07,0
2009-04-08,0
2009-04-09,0
2009-04-10,0
2009-04-11,0
2009-04-12,0
2009-04-13,0
2009-04-14,0
2009-04-15,0
2009-04-16,0
2009-04-17,0
2009-04-18,0
2009-04-19,0
2009-04-20,0
2009-04-21,0
2009-04-22,0
2009-04-23,0
2009-04-24,0
2009-04-25,0
2009-04-26,0
2009-04-27,0
2009-04-28,0
2009-04-29,0
2009-04-30,0
2009-05-01,0
2009-05-02,0
2009-05-03,0
2009-05-04,0
2009-05-05,0
2009-05-06,0
2009-05-07,0
2009-05-08,0
2009-05-09,0
2009-05-10,0
2009-05-11,0
2009-05-12,0
2009-05-13,0
2009-05-14,0
2009-05-15,0
2009-05-16,0
2009-05-17,0
2009-05-18,0
2009-05-19,0
2009-05-20,0
2009-05-21,0
2009-05-22,0
2009-05-23,0
2009-05-24,0
2009-05-25,0
2009-05-26,0
2009-05-27,0
2009-05-28,0
2009-05-29,0
2009-05-30,0
2009-05-31,0
2009-06-01,0
2009-06-02,0
2009-06-03,0
2009-06-04,0
2009-06-05,0
2009-06-06,0
2009-06-07,0
2009-06-08,0
2009-06-09,0
2009-06-10,0
2009-06-11,0
2009-06-12,0
2009-06-13,0
2009-06-14,0
2009-06-15,0
2009-06-16,0
2009-06-17,0
2009-06-18,0
2009-06-19,0
2009-06-20,0
2009-06-21,0
2009-06-22,0
2009-06-23,0
2009-06-24,0
2009-06-25,0
2009-06-26,0
2009-06-27,0
2009-06-28,0
2009-06-29,0
2009-06-30,0
2009-07-01,0
2009-07-02,0
2009-07-03,0
2009-07-04,0
2009-07-05,0
2009-07-06,1
2009-07-07,1
2009-07-08,1
2009-07-09,1
2009-07-10,2
2009-07-11,2
2009-07-12,2
2009-07-13,2
2009-07-14,2
2009-07-15,3
2009-07-16,3
2009-07-17,3
2009-07-18,3
2009-07-19,4
2009-07-20,4
2009-07-21,4
2009-07-22,4
2009-07-23,4
2009-07-24,5
2009-07-25,5
2009-07-26,5
2009-07-27,5
2009-07-28,6
2009-07-29,6
2009-07-30,6
2009-07-31,6
2009-08-01,7
2009-08-02,7
2009-08-03,7
2009-08-04,7
2009-08-05,7
2009-08-06,7
2009-08-07,7
2009-08-08,7
2009-08-09,7
2009-08-10,7
2009-08-11,7
2009-08-12,7
2009-08-13,7
2009-08-14,7
2009-08-15,7
2009-08-16,7
2009-08-17,7
2009-08-18,7
2009-08-19,7
2009-08-20,7
2009-08-21,7
2009-08-22,7
2009-08-23,7
2009-08-24,7
2009-08-25,7
2009-08-26,7
2009-08-27,7
2009-08-28,7
2009-08-29,7
2009-08-30,7
2009-08-31,7
2009-09-01,8
2009-09-02,7
2009-09-03,7
2009-09-04,7
2009-09-05,7
2009-09-06,7
2009-09-07,7
2009-09-08,7
2009-09-09,7
2009-09-10,7
2009-09-11,7
2009-09-12,7
2009-09-13,7
2009-09-14,7
2009-09-15,7
2009-09-16,7
2009-09-17,7
2009-09-18,7
2009-09-19,7
2009-09-20,7
2009-09-21,7
2009-09-22,7
2009-09-23,7
2009-09-24,7
2009-09-25,7
2009-09-26,7
2009-09-27,7
2009-09-28,7
2009-09-29,7
2009-09-30,7
2009-10-01,7
2009-10-02,10
2009-10-03,13
2009-10-04,16
2009-10-05,19
2009-10-06,22
2009-10-07,25
2009-10-08,28
2009-10-09,31
2009-10-10,34
2009-10-11,37
2009-10-12,40
2009-10-13,43
2009-10-14,46
2009-10-15,49
2009-10-16,52
2009-10-17,55
2009-10-18,58
2009-10-19,61
2009-10-20,64
2009-10-21,67
2009-10-22,70
2009-10-23,73
2009-10-24,76
2009-10-25,79
2009-10-26,82
2009-10-27,85
2009-10-28,88
2009-10-29,91
2009-10-30,94
2009-10-31,97
2009-11-01,100
2009-11-02,123
2009-11-03,95
2009-11-04,92
2009-11-05,90
2009-11-06,87
2009-11-07,85
2009-11-08,82
2009-11-09,80
2009-11-10,77
2009-11-11,75
2009-11-12,72
2009-11-13,70
2009-11-14,67
2009-11-15,65
2009-11-16,63
2009-11-17,61
2009-11-18,59
2009-11-19,56
2009-11-20,54
2009-11-21,52
2009-11-22,51
2009-11-23,45
2009-11-24,42
2009-11-25,40
2009-11-26,37
2009-11-27,35
2009-11-28,32
2009-11-29,30
2009-11-30,27
2009-12-01,25
2009-12-02,24
2009-12-03,24
2009-12-04,24
2009-12-05,24
2009-12-06,24
2009-12-07,23
2009-12-08,23
2009-12-09,23
2009-12-10,23
2009-12-11,22
2009-12-12,22
2009-12-13,22
2009-12-14,22
2009-12-15,21
2009-12-16,21
2009-12-17,21
2009-12-18,21
2009-12-19,20
2009-12-20,20
2009-12-21,20
2009-12-22,20
2009-12-23,20
2009-12-24,19
2009-12-25,19
2009-12-26,19
2009-12-27,19
2009-12-28,18
2009-12-29,18
2009-12-30,18
2009-12-31,18
2010-01-01,18
2010-01-02,17
2010-01-03,17
2010-01-04,17
2010-01-05,17
2010-01-06,17
2010-01-07,17
2010-01-08,17
2010-01-09,17
2010-01-10,17
2010-01-11,17
2010-01-12,16
2010-01-13,16
2010-01-14,16
2010-01-15,16
2010-01-16,16
2010-01-17,16
2010-01-18,16
2010-01-19,16
2010-01-20,16
2010-01-21,16
2010-01-22,16
2010-01-23,17
2010-01-24,15
2010-01-25,15
2010-01-26,15
2010-01-27,15
2010-01-28,15
2010-01-29,15
2010-01-30,15
2010-01-31,15
2010-02-01,15
2010-02-02,15
2010-02-03,15
2010-02-04,15
2010-02-05,15
2010-02-06,15
2010-02-07,15
2010-02-08,15
2010-02-09,15
2010-02-10,15
2010-02-11,16
2010-02-12,16
2010-02-13,16
