Date,Trulia
2012-02-01,57
2012-02-02,56
2012-02-03,55
2012-02-04,54
2012-02-05,53
2012-02-06,52
2012-02-07,51
2012-02-08,50
2012-02-09,49
2012-02-10,48
2012-02-11,48
2012-02-12,47
2012-02-13,46
2012-02-14,45
2012-02-15,44
2012-02-16,43
2012-02-17,42
2012-02-18,41
2012-02-19,40
2012-02-20,39
2012-02-21,39
2012-02-22,38
2012-02-23,37
2012-02-24,36
2012-02-25,35
2012-02-26,34
2012-02-27,33
2012-02-28,32
2012-02-29,31
2012-03-01,31
2012-03-02,31
2012-03-03,31
2012-03-04,31
2012-03-05,31
2012-03-06,32
2012-03-07,32
2012-03-08,32
2012-03-09,32
2012-03-10,33
2012-03-11,33
2012-03-12,33
2012-03-13,33
2012-03-14,33
2012-03-15,34
2012-03-16,34
2012-03-17,34
2012-03-18,34
2012-03-19,35
2012-03-20,35
2012-03-21,35
2012-03-22,35
2012-03-23,35
2012-03-24,36
2012-03-25,36
2012-03-26,36
2012-03-27,36
2012-03-28,37
2012-03-29,37
2012-03-30,37
2012-03-31,37
2012-04-01,38
2012-04-02,38
2012-04-03,39
2012-04-04,39
2012-04-05,40
2012-04-06,41
2012-04-07,41
2012-04-08,42
2012-04-09,43
2012-04-10,43
2012-04-11,44
2012-04-12,44
2012-04-13,45
2012-04-14,46
2012-04-15,46
2012-04-16,47
2012-04-17,48
2012-04-18,48
2012-04-19,49
2012-04-20,50
2012-04-21,50
2012-04-22,51
2012-04-23,51
2012-04-24,52
2012-04-25,53
2012-04-26,53
2012-04-27,54
2012-04-28,55
2012-04-29,55
2012-04-30,56
2012-05-01,57
2012-05-02,57
2012-05-03,57
2012-05-04,57
2012-05-05,57
2012-05-06,57
2012-05-07,57
2012-05-08,57
2012-05-09,57
2012-05-10,57
2012-05-11,57
2012-05-12,57
2012-05-13,57
2012-05-14,57
2012-05-15,57
2012-05-16,57
2012-05-17,57
2012-05-18,57
2012-05-19,57
2012-05-20,57
2012-05-21,57
2012-05-22,57
