Date,William Blair & Company
2010-10-01,100
2010-10-02,99
2010-10-03,98
2010-10-04,97
2010-10-05,96
2010-10-06,95
2010-10-07,94
2010-10-08,93
2010-10-09,92
2010-10-10,91
2010-10-11,90
2010-10-12,89
2010-10-13,88
2010-10-14,87
2010-10-15,86
2010-10-16,85
2010-10-17,85
2010-10-18,84
2010-10-19,83
2010-10-20,82
2010-10-21,81
2010-10-22,80
2010-10-23,79
2010-10-24,78
2010-10-25,77
2010-10-26,76
2010-10-27,75
2010-10-28,74
2010-10-29,73
2010-10-30,72
2010-10-31,71
2010-11-01,71
2010-11-02,71
2010-11-03,71
2010-11-04,71
2010-11-05,71
2010-11-06,72
2010-11-07,72
2010-11-08,72
2010-11-09,72
2010-11-10,72
2010-11-11,73
2010-11-12,73
2010-11-13,73
2010-11-14,73
2010-11-15,73
2010-11-16,74
2010-11-17,74
2010-11-18,74
2010-11-19,74
2010-11-20,74
2010-11-21,75
2010-11-22,75
2010-11-23,75
2010-11-24,75
2010-11-25,75
2010-11-26,76
2010-11-27,76
2010-11-28,76
2010-11-29,76
2010-11-30,76
2010-12-01,77
2010-12-02,77
2010-12-03,77
2010-12-04,77
2010-12-05,77
2010-12-06,77
2010-12-07,77
2010-12-08,78
2010-12-09,78
2010-12-10,78
2010-12-11,78
2010-12-12,78
2010-12-13,78
2010-12-14,79
2010-12-15,79
2010-12-16,79
2010-12-17,79
2010-12-18,79
2010-12-19,79
2010-12-20,80
2010-12-21,80
2010-12-22,80
2010-12-23,80
2010-12-24,80
2010-12-25,80
2010-12-26,81
2010-12-27,81
2010-12-28,81
2010-12-29,81
2010-12-30,81
2010-12-31,81
2011-01-01,82
2011-01-02,82
2011-01-03,82
2011-01-04,82
2011-01-05,82
2011-01-06,82
2011-01-07,82
2011-01-08,83
2011-01-09,83
2011-01-10,83
2011-01-11,83
2011-01-12,83
2011-01-13,83
2011-01-14,84
2011-01-15,84
2011-01-16,84
2011-01-17,84
2011-01-18,84
2011-01-19,84
2011-01-20,85
2011-01-21,85
2011-01-22,85
2011-01-23,85
2011-01-24,85
2011-01-25,85
2011-01-26,86
2011-01-27,86
2011-01-28,86
2011-01-29,86
2011-01-30,86
2011-01-31,86
2011-02-01,87
2011-02-02,86
2011-02-03,86
2011-02-04,86
2011-02-05,86
2011-02-06,86
2011-02-07,85
2011-02-08,85
2011-02-09,85
2011-02-10,85
2011-02-11,85
2011-02-12,85
2011-02-13,84
2011-02-14,84
2011-02-15,84
2011-02-16,84
2011-02-17,84
2011-02-18,83
2011-02-19,83
2011-02-20,83
2011-02-21,83
2011-02-22,83
2011-02-23,83
2011-02-24,82
2011-02-25,82
2011-02-26,82
2011-02-27,82
2011-02-28,82
2011-03-01,82
2011-03-02,82
2011-03-03,82
2011-03-04,82
2011-03-05,82
2011-03-06,82
2011-03-07,82
2011-03-08,82
2011-03-09,82
2011-03-10,82
2011-03-11,82
2011-03-12,82
2011-03-13,82
2011-03-14,82
2011-03-15,82
2011-03-16,82
2011-03-17,83
2011-03-18,83
2011-03-19,83
2011-03-20,83
2011-03-21,83
2011-03-22,83
2011-03-23,83
2011-03-24,83
2011-03-25,83
2011-03-26,83
2011-03-27,83
2011-03-28,83
2011-03-29,83
2011-03-30,83
2011-03-31,83
2011-04-01,84
2011-04-02,83
2011-04-03,83
2011-04-04,82
2011-04-05,82
2011-04-06,82
2011-04-07,81
2011-04-08,81
2011-04-09,80
2011-04-10,80
2011-04-11,80
2011-04-12,79
2011-04-13,79
2011-04-14,78
2011-04-15,78
2011-04-16,78
2011-04-17,77
2011-04-18,77
2011-04-19,76
2011-04-20,76
2011-04-21,76
2011-04-22,75
2011-04-23,75
2011-04-24,74
2011-04-25,74
2011-04-26,74
2011-04-27,73
2011-04-28,73
2011-04-29,72
2011-04-30,72
2011-05-01,72
