Date,Jefferies
2010-11-01,23
2010-11-02,23
2010-11-03,23
2010-11-04,23
2010-11-05,23
2010-11-06,23
2010-11-07,23
2010-11-08,23
2010-11-09,24
2010-11-10,24
2010-11-11,24
2010-11-12,24
2010-11-13,24
2010-11-14,24
2010-11-15,24
2010-11-16,25
2010-11-17,25
2010-11-18,25
2010-11-19,25
2010-11-20,25
2010-11-21,25
2010-11-22,25
2010-11-23,25
2010-11-24,26
2010-11-25,26
2010-11-26,26
2010-11-27,26
2010-11-28,26
2010-11-29,26
2010-11-30,26
2010-12-01,27
2010-12-02,27
2010-12-03,27
2010-12-04,27
2010-12-05,27
2010-12-06,27
2010-12-07,27
2010-12-08,27
2010-12-09,28
2010-12-10,28
2010-12-11,28
2010-12-12,28
2010-12-13,28
2010-12-14,28
2010-12-15,28
2010-12-16,28
2010-12-17,29
2010-12-18,29
2010-12-19,29
2010-12-20,29
2010-12-21,29
2010-12-22,29
2010-12-23,29
2010-12-24,29
2010-12-25,30
2010-12-26,30
2010-12-27,30
2010-12-28,30
2010-12-29,30
2010-12-30,30
2010-12-31,30
2011-01-01,31
2011-01-02,31
2011-01-03,31
2011-01-04,31
2011-01-05,31
2011-01-06,31
2011-01-07,31
2011-01-08,31
2011-01-09,31
2011-01-10,31
2011-01-11,31
2011-01-12,32
2011-01-13,32
2011-01-14,32
2011-01-15,32
2011-01-16,32
2011-01-17,32
2011-01-18,32
2011-01-19,32
2011-01-20,32
2011-01-21,32
2011-01-22,33
2011-01-23,33
2011-01-24,33
2011-01-25,33
2011-01-26,33
2011-01-27,33
2011-01-28,33
2011-01-29,33
2011-01-30,33
2011-01-31,33
2011-02-01,34
2011-02-02,33
2011-02-03,33
2011-02-04,33
2011-02-05,33
2011-02-06,32
2011-02-07,32
2011-02-08,32
2011-02-09,32
2011-02-10,31
2011-02-11,31
2011-02-12,31
2011-02-13,31
2011-02-14,30
2011-02-15,30
2011-02-16,30
2011-02-17,30
2011-02-18,29
2011-02-19,29
2011-02-20,29
2011-02-21,29
2011-02-22,28
2011-02-23,28
2011-02-24,28
2011-02-25,28
2011-02-26,27
2011-02-27,27
2011-02-28,27
2011-03-01,27
2011-03-02,27
2011-03-03,27
2011-03-04,27
2011-03-05,27
2011-03-06,27
2011-03-07,28
2011-03-08,28
2011-03-09,28
2011-03-10,28
2011-03-11,28
2011-03-12,29
2011-03-13,29
2011-03-14,29
2011-03-15,29
2011-03-16,29
2011-03-17,30
2011-03-18,30
2011-03-19,30
2011-03-20,30
2011-03-21,30
2011-03-22,31
2011-03-23,31
2011-03-24,31
2011-03-25,31
2011-03-26,31
2011-03-27,32
2011-03-28,32
2011-03-29,32
2011-03-30,32
2011-03-31,32
2011-04-01,33
2011-04-02,33
2011-04-03,33
2011-04-04,33
2011-04-05,33
2011-04-06,33
2011-04-07,33
2011-04-08,33
2011-04-09,34
2011-04-10,34
2011-04-11,34
2011-04-12,34
2011-04-13,34
2011-04-14,34
2011-04-15,34
2011-04-16,35
2011-04-17,35
2011-04-18,35
2011-04-19,35
2011-04-20,35
2011-04-21,35
2011-04-22,35
2011-04-23,35
2011-04-24,36
2011-04-25,36
2011-04-26,36
2011-04-27,36
2011-04-28,36
