Date,Piper Jaffray
2006-05-01,54
2006-05-02,54
2006-05-03,54
2006-05-04,55
2006-05-05,55
2006-05-06,56
2006-05-07,56
2006-05-08,56
2006-05-09,57
2006-05-10,57
2006-05-11,58
2006-05-12,58
2006-05-13,59
2006-05-14,59
2006-05-15,59
2006-05-16,60
2006-05-17,60
2006-05-18,61
2006-05-19,61
2006-05-20,61
2006-05-21,62
2006-05-22,62
2006-05-23,63
2006-05-24,63
2006-05-25,64
2006-05-26,64
2006-05-27,64
2006-05-28,65
2006-05-29,65
2006-05-30,66
2006-05-31,66
2006-06-01,67
2006-06-02,67
2006-06-03,67
2006-06-04,68
2006-06-05,68
2006-06-06,69
2006-06-07,69
2006-06-08,70
2006-06-09,70
2006-06-10,71
2006-06-11,71
2006-06-12,72
2006-06-13,72
2006-06-14,73
2006-06-15,73
2006-06-16,74
2006-06-17,74
2006-06-18,74
2006-06-19,75
2006-06-20,75
2006-06-21,76
2006-06-22,76
2006-06-23,77
2006-06-24,77
2006-06-25,78
2006-06-26,78
2006-06-27,79
2006-06-28,79
2006-06-29,80
2006-06-30,80
2006-07-01,81
2006-07-02,80
2006-07-03,79
2006-07-04,78
2006-07-05,77
2006-07-06,76
2006-07-07,75
2006-07-08,74
2006-07-09,74
2006-07-10,73
2006-07-11,72
2006-07-12,71
2006-07-13,70
2006-07-14,69
2006-07-15,68
2006-07-16,67
2006-07-17,67
2006-07-18,66
2006-07-19,65
2006-07-20,64
2006-07-21,63
2006-07-22,62
2006-07-23,61
2006-07-24,60
2006-07-25,60
2006-07-26,59
2006-07-27,58
2006-07-28,57
2006-07-29,56
2006-07-30,55
2006-07-31,54
2006-08-01,54
2006-08-02,54
2006-08-03,54
2006-08-04,54
2006-08-05,54
2006-08-06,54
2006-08-07,54
2006-08-08,54
2006-08-09,54
2006-08-10,54
2006-08-11,54
2006-08-12,54
2006-08-13,54
2006-08-14,54
2006-08-15,54
2006-08-16,54
2006-08-17,54
2006-08-18,54
2006-08-19,54
2006-08-20,54
2006-08-21,54
2006-08-22,54
2006-08-23,54
2006-08-24,54
2006-08-25,54
2006-08-26,54
2006-08-27,54
2006-08-28,54
2006-08-29,54
2006-08-30,54
2006-08-31,54
2006-09-01,54
2006-09-02,54
2006-09-03,54
2006-09-04,54
2006-09-05,54
2006-09-06,54
2006-09-07,54
2006-09-08,54
2006-09-09,54
2006-09-10,54
2006-09-11,54
2006-09-12,54
2006-09-13,54
2006-09-14,54
2006-09-15,54
2006-09-16,54
2006-09-17,54
