Date,Newgistics
2010-09-01,0
2010-09-02,0
2010-09-03,0
2010-09-04,0
2010-09-05,0
2010-09-06,0
2010-09-07,0
2010-09-08,0
2010-09-09,0
2010-09-10,0
2010-09-11,0
2010-09-12,0
2010-09-13,0
2010-09-14,0
2010-09-15,0
2010-09-16,0
2010-09-17,0
2010-09-18,0
2010-09-19,0
2010-09-20,0
2010-09-21,0
2010-09-22,0
2010-09-23,0
2010-09-24,0
2010-09-25,0
2010-09-26,0
2010-09-27,0
2010-09-28,0
2010-09-29,0
2010-09-30,0
2010-10-01,0
2010-10-02,0
2010-10-03,0
2010-10-04,0
2010-10-05,0
2010-10-06,0
2010-10-07,0
2010-10-08,0
2010-10-09,0
2010-10-10,0
2010-10-11,0
2010-10-12,0
2010-10-13,0
2010-10-14,0
2010-10-15,0
2010-10-16,0
2010-10-17,0
2010-10-18,0
2010-10-19,0
2010-10-20,0
2010-10-21,0
2010-10-22,0
2010-10-23,0
2010-10-24,0
2010-10-25,0
2010-10-26,0
2010-10-27,0
2010-10-28,0
2010-10-29,0
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,0
2010-11-03,0
2010-11-04,0
2010-11-05,0
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,0
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,0
2010-11-18,0
2010-11-19,0
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,0
2010-11-27,0
2010-11-28,0
2010-11-29,0
2010-11-30,0
2010-12-05,0
2010-12-06,0
2010-12-07,0
2010-12-08,0
2010-12-09,0
2010-12-10,0
2010-12-11,0
2010-12-12,0
2010-12-13,0
2010-12-14,0
2010-12-15,0
2010-12-16,0
2010-12-17,0
2010-12-18,0
2010-12-19,5
2010-12-20,11
2010-12-21,17
2010-12-22,23
2010-12-23,29
2010-12-24,35
2010-12-25,41
2010-12-26,41
2010-12-27,41
2010-12-28,41
2010-12-29,42
2010-12-30,42
2010-12-31,42
2011-01-01,43
2011-01-02,43
2011-01-03,43
2011-01-04,43
2011-01-05,44
2011-01-06,44
2011-01-07,44
2011-01-08,45
2011-01-09,45
2011-01-10,46
2011-01-11,46
2011-01-12,46
2011-01-13,47
2011-01-14,47
2011-01-15,47
2011-01-16,45
2011-01-17,43
2011-01-18,41
2011-01-19,39
2011-01-20,37
2011-01-21,35
2011-01-22,34
2011-01-23,31
2011-01-24,31
2011-01-25,31
2011-01-26,31
2011-01-27,31
2011-01-28,31
2011-01-29,31
2011-01-30,31
2011-01-31,31
2011-02-01,31
2011-02-02,31
2011-02-03,31
2011-02-04,31
2011-02-05,31
2011-02-06,31
2011-02-07,31
2011-02-08,31
2011-02-09,31
2011-02-10,31
2011-02-11,31
2011-02-12,31
2011-02-13,31
2011-02-14,31
2011-02-15,31
2011-02-16,31
2011-02-17,31
2011-02-18,31
2011-02-19,31
2011-02-20,31
2011-02-21,31
2011-02-22,31
2011-02-23,31
2011-02-24,31
2011-02-25,31
2011-02-26,32
2011-02-27,32
2011-03-06,34
2011-03-07,34
2011-03-08,35
2011-03-09,35
2011-03-10,36
2011-03-11,36
2011-03-12,37
2011-03-13,35
2011-03-14,34
2011-03-15,33
2011-03-16,31
2011-03-17,30
2011-03-18,29
2011-03-19,28
2011-03-20,28
2011-03-21,28
2011-03-22,28
2011-03-23,28
2011-03-24,28
2011-03-25,28
2011-03-26,28
2011-03-27,29
2011-03-28,31
2011-03-29,32
2011-03-30,34
2011-03-31,36
2011-04-01,38
2011-04-02,41
2011-04-03,36
2011-04-04,35
2011-04-05,34
2011-04-06,33
2011-04-07,32
2011-04-08,31
2011-04-09,31
2011-04-10,31
2011-04-11,31
2011-04-12,31
2011-04-13,31
2011-04-14,31
2011-04-15,31
2011-04-16,31
2011-04-17,31
2011-04-18,31
2011-04-19,31
2011-04-20,31
2011-04-21,31
2011-04-22,31
2011-04-23,31
2011-04-24,31
2011-04-25,31
2011-04-26,31
2011-04-27,31
2011-04-28,31
2011-04-29,31
2011-04-30,31
2011-05-01,31
2011-05-02,31
2011-05-03,31
2011-05-04,31
2011-05-05,31
2011-05-06,31
2011-05-07,31
2011-05-08,31
2011-05-09,31
2011-05-10,32
2011-05-11,32
2011-05-12,33
2011-05-13,33
2011-05-14,34
2011-05-15,33
2011-05-16,33
2011-05-17,33
2011-05-18,33
2011-05-19,33
2011-05-20,33
2011-05-21,33
2011-05-22,33
2011-05-23,33
2011-05-24,33
2011-05-25,33
2011-05-26,33
2011-05-27,33
2011-05-28,33
2011-05-29,33
2011-06-05,33
2011-06-06,33
2011-06-07,33
2011-06-08,33
2011-06-09,33
2011-06-10,33
2011-06-11,33
2011-06-12,33
2011-06-13,33
2011-06-14,33
2011-06-15,33
2011-06-16,33
2011-06-17,33
2011-06-18,33
2011-06-19,32
2011-06-20,32
2011-06-21,32
2011-06-22,31
2011-06-23,31
2011-06-24,31
2011-06-25,31
2011-06-26,31
2011-06-27,31
2011-06-28,31
2011-06-29,31
2011-06-30,31
2011-07-01,31
2011-07-02,31
2011-07-03,31
2011-07-04,37
2011-07-05,31
2011-07-06,31
2011-07-07,31
2011-07-08,31
2011-07-09,31
2011-07-10,31
2011-07-11,31
2011-07-12,31
2011-07-13,31
2011-07-14,31
2011-07-15,31
2011-07-16,31
2011-07-17,31
2011-07-18,32
2011-07-19,33
2011-07-20,34
2011-07-21,35
2011-07-22,36
2011-07-23,37
2011-07-24,37
2011-07-25,38
2011-07-26,39
2011-07-27,39
2011-07-28,40
2011-07-29,41
2011-07-30,42
2011-07-31,42
2011-08-01,43
2011-08-02,44
2011-08-03,45
2011-08-04,46
2011-08-05,47
2011-08-06,48
2011-08-07,45
2011-08-08,42
2011-08-09,40
2011-08-10,37
2011-08-11,35
2011-08-12,32
2011-08-13,30
2011-08-14,29
2011-08-15,29
2011-08-16,29
2011-08-17,28
2011-08-18,28
2011-08-19,28
2011-08-20,28
2011-08-21,29
2011-08-22,30
2011-08-23,32
2011-08-24,33
2011-08-25,35
2011-08-26,36
2011-08-27,38
2011-08-28,36
2011-09-04,29
2011-09-05,30
2011-09-06,30
2011-09-07,31
2011-09-08,31
2011-09-09,32
2011-09-10,33
2011-09-11,32
2011-09-12,31
2011-09-13,31
2011-09-14,30
2011-09-15,29
2011-09-16,28
2011-09-17,28
2011-09-18,31
2011-09-19,34
2011-09-20,37
2011-09-21,41
2011-09-22,44
2011-09-23,47
2011-09-24,51
2011-09-25,47
2011-09-26,44
2011-09-27,41
2011-09-28,37
2011-09-29,34
2011-09-30,31
2011-10-01,28
2011-10-02,29
2011-10-03,31
2011-10-04,33
2011-10-05,35
2011-10-06,36
2011-10-07,38
2011-10-08,40
2011-10-09,37
2011-10-10,35
2011-10-11,33
2011-10-12,30
2011-10-13,28
2011-10-14,26
2011-10-15,24
2011-10-16,25
2011-10-17,26
2011-10-18,27
2011-10-19,28
2011-10-20,29
2011-10-21,30
2011-10-22,32
2011-10-23,33
2011-10-24,34
2011-10-25,35
2011-10-26,36
2011-10-27,37
2011-10-28,38
2011-10-29,39
2011-10-30,40
2011-10-31,41
2011-11-01,42
2011-11-02,43
2011-11-03,44
2011-11-04,45
2011-11-05,47
2011-11-06,47
2011-11-07,47
2011-11-08,47
2011-11-09,48
2011-11-10,48
2011-11-11,48
2011-11-12,49
2011-11-13,48
2011-11-14,47
2011-11-15,46
2011-11-16,46
2011-11-17,45
2011-11-18,44
2011-11-19,43
2011-11-20,42
2011-11-21,39
2011-11-22,38
2011-11-23,36
2011-11-24,35
2011-11-25,33
2011-11-26,32
2011-11-27,38
2011-12-04,72
2011-12-05,71
2011-12-06,70
2011-12-07,69
2011-12-08,68
2011-12-09,67
2011-12-10,66
2011-12-11,70
2011-12-12,75
2011-12-13,80
2011-12-14,85
2011-12-15,90
2011-12-16,95
2011-12-17,100
2011-12-18,95
2011-12-19,92
2011-12-20,87
2011-12-21,82
2011-12-22,78
2011-12-23,73
2011-12-24,69
2011-12-25,64
2011-12-26,59
2011-12-27,54
2011-12-28,50
2011-12-29,45
2011-12-30,41
2011-12-31,37
2012-01-01,36
2012-01-02,36
2012-01-03,36
2012-01-04,36
2012-01-05,36
2012-01-06,36
2012-01-07,36
2012-01-08,38
2012-01-09,40
2012-01-10,42
2012-01-11,44
2012-01-12,46
2012-01-13,48
2012-01-14,50
2012-01-15,47
2012-01-16,44
2012-01-17,41
2012-01-18,38
2012-01-19,35
2012-01-20,32
2012-01-21,29
2012-01-22,31
2012-01-23,33
2012-01-24,35
2012-01-25,38
2012-01-26,40
2012-01-27,42
2012-01-28,45
2012-01-29,45
2012-01-30,46
2012-01-31,46
2012-02-01,46
2012-02-02,47
2012-02-03,47
2012-02-04,47
2012-02-05,44
2012-02-06,39
2012-02-07,36
2012-02-08,32
2012-02-09,29
2012-02-10,25
2012-02-11,22
2012-02-12,23
2012-02-13,25
2012-02-14,27
2012-02-15,29
2012-02-16,31
2012-02-17,33
2012-02-18,36
2012-02-19,32
2012-02-20,32
2012-02-21,32
2012-02-22,31
2012-02-23,31
2012-02-24,31
2012-02-25,31
2012-02-26,31
2012-03-04,31
2012-03-05,32
2012-03-06,33
2012-03-07,34
2012-03-08,34
2012-03-09,35
2012-03-10,36
2012-03-11,34
2012-03-12,32
2012-03-13,30
2012-03-14,29
2012-03-15,27
2012-03-16,25
2012-03-17,24
2012-03-18,24
2012-03-19,24
2012-03-20,24
2012-03-21,24
2012-03-22,24
2012-03-23,24
2012-03-24,24
2012-03-25,24
2012-03-26,24
2012-03-27,24
2012-03-28,24
2012-03-29,24
2012-03-30,24
2012-03-31,24
2012-04-01,25
2012-04-02,26
2012-04-03,27
2012-04-04,28
2012-04-05,29
2012-04-06,30
2012-04-07,32
2012-04-08,33
2012-04-09,34
2012-04-10,35
2012-04-11,36
2012-04-12,37
2012-04-13,38
2012-04-14,39
2012-04-15,37
2012-04-16,36
2012-04-17,35
2012-04-18,34
2012-04-19,33
2012-04-20,32
2012-04-21,31
2012-04-22,31
2012-04-23,31
2012-04-24,31
2012-04-25,31
2012-04-26,31
2012-04-27,31
2012-04-28,31
2012-04-29,32
2012-04-30,33
2012-05-01,34
2012-05-02,36
2012-05-03,37
2012-05-04,38
2012-05-05,40
2012-05-06,38
2012-05-07,36
2012-05-08,34
2012-05-09,33
2012-05-10,31
2012-05-11,29
2012-05-12,28
2012-05-13,31
2012-05-14,34
2012-05-15,37
2012-05-16,40
2012-05-17,43
2012-05-18,47
2012-05-19,50
2012-05-20,48
2012-05-21,46
2012-05-22,43
2012-05-23,41
2012-05-24,39
2012-05-25,37
2012-05-26,35
2012-05-27,35
2012-06-03,34
2012-06-04,36
2012-06-05,38
2012-06-06,40
2012-06-07,41
2012-06-08,43
2012-06-09,45
2012-06-10,43
2012-06-11,41
2012-06-12,39
2012-06-13,37
2012-06-14,35
2012-06-15,33
2012-06-16,32
2012-06-17,35
2012-06-18,38
2012-06-19,41
2012-06-20,44
2012-06-21,47
2012-06-22,51
2012-06-23,54
2012-06-24,50
2012-06-25,44
2012-06-26,40
2012-06-27,36
2012-06-28,32
2012-06-29,28
2012-06-30,24
2012-07-01,25
2012-07-02,27
2012-07-03,29
2012-07-04,30
2012-07-05,32
2012-07-06,34
2012-07-07,36
2012-07-08,36
2012-07-09,36
2012-07-10,36
2012-07-11,36
2012-07-12,36
2012-07-13,36
2012-07-14,36
2012-07-15,36
2012-07-16,36
2012-07-17,36
2012-07-18,36
2012-07-19,36
2012-07-20,36
2012-07-21,37
2012-07-22,36
2012-07-23,35
2012-07-24,34
2012-07-25,34
2012-07-26,33
2012-07-27,32
2012-07-28,31
2012-07-29,31
2012-07-30,31
2012-07-31,31
2012-08-01,32
2012-08-02,32
2012-08-03,32
2012-08-04,33
2012-08-05,33
2012-08-06,33
2012-08-07,34
2012-08-08,34
2012-08-09,35
2012-08-10,35
2012-08-11,36
2012-08-12,36
2012-08-13,36
2012-08-14,36
2012-08-15,37
2012-08-16,37
2012-08-17,37
2012-08-18,38
2012-08-19,38
2012-08-20,38
2012-08-21,38
2012-08-22,38
2012-08-23,38
2012-08-24,38
2012-08-25,38
2012-08-26,38
