Date,Paratek
2012-03-01,100
2012-03-02,98
2012-03-03,96
2012-03-04,94
2012-03-05,92
2012-03-06,90
2012-03-07,88
2012-03-08,86
2012-03-09,84
2012-03-10,82
2012-03-11,80
2012-03-12,78
2012-03-13,76
2012-03-14,74
2012-03-15,72
2012-03-16,70
2012-03-17,68
2012-03-18,66
2012-03-19,64
2012-03-20,62
2012-03-21,60
2012-03-22,58
2012-03-23,56
2012-03-24,54
2012-03-25,52
2012-03-26,50
2012-03-27,48
2012-03-28,46
2012-03-29,44
2012-03-30,42
2012-03-31,40
2012-04-01,39
2012-04-02,39
2012-04-03,39
2012-04-04,39
2012-04-05,39
2012-04-06,39
2012-04-07,39
2012-04-08,39
2012-04-09,39
2012-04-10,39
2012-04-11,39
2012-04-12,39
2012-04-13,39
2012-04-14,39
2012-04-15,39
2012-04-16,39
2012-04-17,39
2012-04-18,39
2012-04-19,39
2012-04-20,39
2012-04-21,39
2012-04-22,39
2012-04-23,39
2012-04-24,39
2012-04-25,39
2012-04-26,39
2012-04-27,39
2012-04-28,39
2012-04-29,39
2012-04-30,39
2012-05-01,40
2012-05-02,40
2012-05-03,40
2012-05-04,41
2012-05-05,41
2012-05-06,42
2012-05-07,42
2012-05-08,42
2012-05-09,43
2012-05-10,43
2012-05-11,44
2012-05-12,44
2012-05-13,45
2012-05-14,45
2012-05-15,45
2012-05-16,46
2012-05-17,46
2012-05-18,47
2012-05-19,47
2012-05-20,47
2012-05-21,48
2012-05-22,48
2012-05-23,49
2012-05-24,49
2012-05-25,50
2012-05-26,50
2012-05-27,50
2012-05-28,51
2012-05-29,51
2012-05-30,52
2012-05-31,52
2012-06-01,53
2012-06-02,52
2012-06-03,52
2012-06-04,51
2012-06-05,51
2012-06-06,50
2012-06-07,50
2012-06-08,49
2012-06-09,49
2012-06-10,48
2012-06-11,48
2012-06-12,47
2012-06-13,47
2012-06-14,46
2012-06-15,46
2012-06-16,46
2012-06-17,45
2012-06-18,45
2012-06-19,44
2012-06-20,44
2012-06-21,43
2012-06-22,43
2012-06-23,42
2012-06-24,42
2012-06-25,41
2012-06-26,41
2012-06-27,40
2012-06-28,40
2012-06-29,39
2012-06-30,39
2012-07-01,39
2012-07-02,39
2012-07-03,39
2012-07-04,39
2012-07-05,39
2012-07-06,39
2012-07-07,39
2012-07-08,39
2012-07-09,39
2012-07-10,39
2012-07-11,39
2012-07-12,39
2012-07-13,39
2012-07-14,39
2012-07-15,39
2012-07-16,39
2012-07-17,39
2012-07-18,39
2012-07-19,39
2012-07-20,39
2012-07-21,39
2012-07-22,39
2012-07-23,39
2012-07-24,39
2012-07-25,39
2012-07-26,39
2012-07-27,39
2012-07-28,39
2012-07-29,39
2012-07-30,39
2012-07-31,39
2012-08-01,39
2012-08-02,39
2012-08-03,39
2012-08-04,39
2012-08-05,39
2012-08-06,39
2012-08-07,39
2012-08-08,39
2012-08-09,39
2012-08-10,39
2012-08-11,39
2012-08-12,39
2012-08-13,39
2012-08-14,39
2012-08-15,39
2012-08-16,39
2012-08-17,39
2012-08-18,39
2012-08-19,39
2012-08-20,39
2012-08-21,39
2012-08-22,39
2012-08-23,39
2012-08-24,39
2012-08-25,39
2012-08-26,39
2012-08-27,39
2012-08-28,39
2012-08-29,39
2012-08-30,39
2012-08-31,39
2012-09-01,39
2012-09-02,39
2012-09-03,39
2012-09-04,39
2012-09-05,39
2012-09-06,39
2012-09-07,39
2012-09-08,39
2012-09-09,39
2012-09-10,39
2012-09-11,39
2012-09-12,39
2012-09-13,39
2012-09-14,39
2012-09-15,39
2012-09-16,39
2012-09-17,39
2012-09-18,39
2012-09-19,39
2012-09-20,39
2012-09-21,39
2012-09-22,39
2012-09-23,39
2012-09-24,39
2012-09-25,39
2012-09-26,39
2012-09-27,39
2012-09-28,39
2012-09-29,39
2012-09-30,39
2012-10-01,39
2012-10-02,38
2012-10-03,38
2012-10-04,38
2012-10-05,38
2012-10-06,38
2012-10-07,38
2012-10-08,38
2012-10-09,38
2012-10-10,38
2012-10-11,38
2012-10-12,37
2012-10-13,37
2012-10-14,37
2012-10-15,37
2012-10-16,37
2012-10-17,37
2012-10-18,37
2012-10-19,37
2012-10-20,37
2012-10-21,37
2012-10-22,36
2012-10-23,36
2012-10-24,36
2012-10-25,36
2012-10-26,36
2012-10-27,36
